"Check Number","Transaction Type","Transaction Date","Category","Description","Amount","Running Balance"
"","POS Purchase Non-PIN","01/07/2016","","POS Purchase Non-PIN DNH*GODADDY.COM     480-5058855 AZ *****0357 01/05 20:34    ","-10.89","15610.92"
"1279","Check","01/29/2016","","Check                                   ","-360.00","15250.92"
"","Debit Card Fee","01/29/2016","","Debit Card Fee                          ","-1.00","15249.92"
"","Debit Card Fee","02/29/2016","","Debit Card Fee                          ","-1.00","15248.92"
"1281","Check","03/04/2016","","Check                                   ","-992.00","14256.92"
"","ACH Credit","03/07/2016","","Square Inc/160307P2 Saratoga Mountain    Bike                                    ","88.49","14345.41"
"1280","Check","03/16/2016","","Check                                   ","-75.00","14270.41"
"","Deposit","03/23/2016","","Deposit                                 ","75.00","14345.41"
"","Debit Card Fee","03/31/2016","","Debit Card Fee                          ","-1.00","14344.41"
"","ACH Credit","04/05/2016","","PIONEER REGISTRA/BIKEREG 30728-67591     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","1340.00","15684.41"
"","ATM Withdrawal","04/11/2016","","ATM Withdrawal ADIRONDACK TR ROUTE 9 &   50M SARATOGA SPGS NY 00000IC177350      ","-120.00","15564.41"
"","POS Purchase With PIN","04/11/2016","","POS Purchase With PIN PRICE CHOPPER #3   TROY NY *****0357 04/10 13:16           ","-24.49","15539.92"
"","POS Purchase Non-PIN","04/15/2016","","POS Purchase Non-PIN HOMEDEPOT.COM       800-430-3376 GA *****0357 04/13 19:23   ","-37.77","15502.15"
"1283","Check","04/22/2016","","Check                                   ","-203.71","15298.44"
"","Deposit","04/25/2016","","Deposit                                 ","80.00","15378.44"
"1285","Check","04/28/2016","","Check                                   ","-189.25","15189.19"
"1284","Check","04/29/2016","","Check                                   ","-127.12","15062.07"
"","ACH Credit","05/03/2016","","PIONEER REGISTRA/BIKEREG 30728-68526     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","1315.00","16377.07"
"","Deposit","05/17/2016","","Deposit                                 ","75.00","16452.07"
"1286","Check","05/24/2016","","Check                                   ","-139.50","16312.57"
"","POS Purchase Non-PIN","05/25/2016","","POS Purchase Non-PIN SQ *SQUARE          HARDWARE gosq.com CA *****0357 05/24     19:59                                   ","-31.32","16281.25"
"1288","Check","05/31/2016","","Check                                   ","-1450.00","14831.25"
"","ACH Debit","06/03/2016","","PACHNER & ASSOCI/PREAUTHPMT SARATOGA     MOUNTAIN BIKE                           ","-1499.00","13332.25"
"","POS Purchase Non-PIN","06/07/2016","","POS Purchase Non-PIN AMAZON.COM SEATTLE  WA *****0357 06/06 18:20                ","-118.79","13213.46"
"","ACH Credit","06/08/2016","","PIONEER REGISTRA/BIKEREG 30728-69705     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","605.00","13818.46"
"","ACH Credit","06/13/2016","","Square Inc/160613P2 Saratoga Mountain    Bike                                    ","43.76","13862.22"
"1289","Check","06/17/2016","","Check                                   ","-70.44","13791.78"
"","Deposit","06/30/2016","","Deposit                                 ","771.00","14562.78"
"","ACH Credit","07/06/2016","","PIONEER REGISTRA/BIKEREG 30728-70544     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","300.00","14862.78"
"1290","Check","08/02/2016","","Check                                   ","-19.10","14843.68"
"","Deposit","08/03/2016","","Deposit                                 ","342.80","15186.48"
"1291","Check","08/23/2016","","Check                                   ","-363.46","14823.02"
"","ACH Credit","09/07/2016","","PIONEER REGISTRA/BIKEREG 30728-72461     2016 SMBA MEMBERSHIPS ADIRONDACK TRUST   COM                                     ","195.00","15018.02"
"","Deposit","10/18/2016","","Deposit                                 ","75.00","15093.02"
"1292","Check","10/25/2016","","Check                                   ","-26.78","15066.24"
